,Mast Cells,Neutrophil Cells,Eosinophil Cells,B Cells Memory,B Cells Naive,Plasma Cells,T Cells CD8 Actived,T Cells CD8 Naive,T Cells CD8 Memory,M0 Macrophage,M1 Macrophage,M2 Macrophage,Treg Cells,T Cells CD4 Memory,T Cells CD4 Naive,T Cells CD4 Follicular,Th1 Cells,Th17 Cells,Th2 Cells,Monocyte,GammaDelta T Cells,NK Resting,NK.Actived,DC Actived,DC Immature
4930486L24Rik,303.4549601315,38.9763116378,44.4810214683,37.4859522143,60.4584223143,43.7425710663,128.726259103,130.3051023919,261.3734310257,59.534522666,117.9326787459,47.0690938965,102.2949343535,88.0160547622,99.9639512114,57.6607095324,57.5028269914,331.6765213482,1021.5340917058,42.3533760368,84.3260624331,456.6193279861,385.2136296468,31.2370939278,26.8523575195
Il12rb1,51.7337358077,38.7502078994,48.5656674401,64.9407064091,56.0257366608,53.7220051556,293.0232249067,75.3392426804,156.5605348585,31.4521283395,365.5288222954,30.3063337747,314.4772009471,240.4881282405,55.3074603637,196.2786432595,472.644750321,258.723461883,633.2094413437,29.5161974465,228.218031507,204.3609889789,531.5638537029,81.128310814,36.6474272965
Prf1,37.587011713,38.3398842957,45.5021887554,93.3279214842,51.8909944552,66.9081823096,1588.6222889113,485.5056780377,705.1788124027,57.4043280595,76.2007628176,59.5537922398,62.8443714292,82.2945107037,301.2081452418,64.0035217721,2451.5251012169,46.9507990068,89.4954810682,38.4487401649,260.2521516689,6578.7689645325,5559.9185699778,41.8437498019,37.8379432664
Ms4a4b,11.9137605942,38.3255295718,33.3134197006,17.7546739426,24.1715635175,11.3254043301,8090.2647154209,12666.1698195351,13146.0834926429,35.698781449,70.1013446828,18.2179119521,2070.4017851686,13489.0552787379,10860.3672959048,9573.599242748,1038.3092994724,2918.9624258898,481.587340911,580.8204828947,11.5002669638,9371.2369812141,6853.6493459566,59.1659432131,18.4551552766
Irf4,27.5329898269,38.1656989839,48.919750158,304.8422511885,340.2381572737,1641.4141008592,422.8558899144,41.4131256748,36.287742896,25.3936554253,29.5189760008,94.0458592268,508.7591549723,133.8289998934,39.2722055303,157.9558878185,1554.512740775,317.4299152548,250.399768788,152.6479251968,29.8825877663,48.2600913708,38.0786874228,448.2920908122,272.3368987534
Gp1ba,1491.8415045267,37.8439721456,265.6048642268,22.4367808109,16.7990884426,22.2378509405,21.8287361545,19.8988863472,20.1766045463,26.1526420584,34.9501199282,32.5243939469,19.6768433195,32.1850227788,22.1493023936,23.0100894012,24.628780333,20.8485411466,27.9030509356,31.7403287457,25.739024663,27.4571937949,25.2555825695,24.9512453491,22.8661097937
Il17a,44.0364082864,37.5942824259,38.3589152012,48.3850445509,53.2183281147,67.5880453796,75.848387761,53.4260455821,54.6423945577,49.3806177297,51.6231748118,48.6147004232,46.1898018962,31.9133007899,42.841950522,43.5009865504,57.9553635575,2316.783588395,56.1518125025,46.8385480558,40.6142975273,31.1716857063,33.7291449829,68.8771595666,54.5557292001
Cyp4a12a,1002.2831209167,37.0414033353,46.3727663829,36.4925220791,50.2970791184,49.973072691,30.0326871036,31.7299422261,30.0126828003,30.4308104829,32.1466320336,41.7704603296,28.8169328897,19.2712437081,27.3383078596,21.9179483247,19.5829453581,24.6925198094,26.6637456951,56.074991823,47.8515889407,18.0460952887,26.9376624787,66.1991423382,71.9742488461
Tpsg1,5318.1363464147,36.5301895999,35.2334135075,23.5568315103,35.6466950078,27.5585372114,35.3483668825,26.3996417715,26.4804002609,25.8197051955,29.4102973586,25.0532863352,34.3194488616,25.122507479,30.8775208926,30.5548748653,38.3968910764,31.3468038527,35.4329987786,28.6373593101,29.9264320522,32.3209126617,44.7740190253,30.0431765453,30.3599113212
Gzmb,15938.3843041542,36.3557134119,124.8604012225,30.067534748,23.1342062279,35.9429096439,18487.916325394,71.2863006055,198.2430664487,24.652129629,30.4665443777,24.7841894483,290.0041917674,167.1114770164,44.2627164771,121.49164423,17495.267634471,301.4310852736,14381.3962542126,36.9194581639,18288.1370466753,3679.0376090361,17092.6141765618,35.170066849,29.6879981859
Tcrg-C4,33.9051575045,36.130737205,33.5913662134,50.253506208,36.7575102339,33.5549895112,155.2785068883,77.5525852809,248.1318328569,24.6127538215,23.0483633454,25.3308219288,81.5621420548,123.2306241364,47.9718713418,31.1392535491,1537.1565772615,94.8583565288,111.368259596,45.4718794308,9307.523676394,272.6709290879,280.5551087905,36.6922654348,35.3964055446
Cysltr2,39.5103938825,36.0268964327,29.2045513123,29.5220135718,33.8524771344,47.8786670241,43.9803498925,52.3249083141,71.5825423164,40.9273843046,263.4138503498,50.1532779543,39.3541909238,56.3867563894,41.1476930512,69.1635858615,33.1544296296,260.9890728725,81.7571935219,26.5016684563,201.2349038571,105.1118022342,124.2721505467,50.3381327217,32.3591689363
Ccl7,1782.1083980775,35.9723165816,300.984590442,26.3684921039,20.7393404595,26.0662536069,21.8187481858,24.8520075754,25.962886056,62.8504842347,2529.6074299187,212.8722184706,28.7388897576,19.5201431868,31.2245555142,25.216416277,28.438164567,23.6685927186,24.709125476,26.7400640194,30.5292232729,24.4896342381,23.6446181562,850.3109503902,53.5385127001
Cep97,55.9723535662,35.9077824289,51.2607376839,55.8947778386,52.2494707488,37.8870633979,75.1588800109,222.2270731016,90.6011145254,41.2433479808,41.8022456558,42.6673848721,119.8683236047,130.0936501998,282.2788872314,139.7942946843,77.1158039579,274.2725851906,94.6980950562,37.1311273561,53.8291650485,93.8976755963,92.4879323215,25.186612209,29.6787239279
Il2rb,29.821696554,35.8231278438,31.2956774816,32.4252478868,24.2137779657,36.1967537799,914.2612599413,272.1185501855,2249.9356359201,28.5794719502,32.4929313707,30.4675157509,1393.740740515,539.354189635,108.3625618101,639.5549523958,2183.2619978644,565.5184333235,500.1764158322,28.3701764667,2747.9719093781,809.3390210362,1229.8701128788,28.4956490292,25.9617723006
Tcf7,37.2214626626,35.6946945074,48.7923238929,59.7575505069,44.7916856736,50.7894495122,351.5527820421,2327.1166824316,2514.8494309137,34.8214965083,35.0795785408,35.7428756403,858.8367653668,1490.577180349,3738.5791505412,2629.3676405508,280.131206935,4004.7652878377,61.0021061161,56.1171824526,268.6540268272,227.0604834918,165.9236873059,58.7206901526,64.9811409137
Gpr132,24.5858843106,35.6917912781,30.2017629191,24.8447831954,32.4095669236,29.414303225,34.3125723982,44.7344482312,45.6160629102,25.2840505017,33.2154716616,24.7840172281,53.8832312651,35.2343992299,70.3820432364,45.6875323972,262.4261414109,208.0287299921,103.2114875694,42.7129399936,36.8854184264,28.4571934014,26.3280522314,65.6663308491,64.9269960436
Lag3,142.5940220775,35.5291895743,53.0829991536,33.0741837003,36.0592376542,31.4662946335,128.8655653405,36.9329429409,52.5798132965,38.1765704401,38.3878979968,35.2592308569,152.2055710538,100.7694130365,37.1737020312,546.2131986233,319.4220703061,115.3981495643,53.0129323561,33.0932995485,1220.5678019778,46.9766736509,46.9194796634,43.1028155993,36.6338935894
Fosb,565.6964969158,35.5287695803,32.1213420269,57.217439657,33.6355850091,71.1652562941,32.6823983512,51.2299944318,124.3903897615,23.0285849075,24.7144141619,20.9632590672,40.0089837302,25.2432873397,43.2497289592,79.0002002367,54.5123740328,25.2277446615,79.5763669669,64.2375397908,43.8341856069,145.2659419702,28.1060382816,35.4451713969,29.5300459608
Alpk2,59.6857462865,35.4521552767,26.7593647095,123.8324076966,68.0782947932,267.0097077206,68.5136990219,38.3791303682,44.7092409524,31.079469498,37.6376943209,32.1440483514,46.9312893567,31.8446681958,31.5434164545,36.1426356103,185.4128684237,120.0562647182,43.303656589,26.3010136983,38.4682010381,31.7651282542,30.7082755293,319.0231955845,78.9749968755
Itgae,63.0639709093,35.3739012631,88.6117597787,180.9860423455,74.6032323829,64.786818752,37.726945789,1468.6864606905,152.0091039792,32.9513213911,41.062115166,29.6785899186,262.451796489,303.8186925447,47.2041177072,188.1894593694,39.0881566205,59.6102787128,36.1447160636,36.5499769768,10246.8329272478,101.8116029501,51.9477019668,40.9746119933,51.5528880684
Cd40,35.9921552983,35.2896123718,82.8189502049,1621.4673491524,1394.4195227163,57.3847639913,38.3267739935,42.6188963525,38.8708732627,120.8719256264,3162.6115003163,421.130122247,99.826229576,61.4997077164,43.3543347546,40.9219184101,62.1191162078,53.2176397718,43.4733303854,271.5717913431,31.3713128867,55.6389352512,37.4280353462,3038.0004211702,110.9952598875
Timd4,17.1071148089,34.2275471273,16.0669449558,20.511557231,26.6724551022,25.7430145335,22.1295317391,22.313302226,25.7850952025,27.9000832836,459.6213137014,22.185030632,19.0919545011,18.3569179524,17.953415998,16.3107238434,17.4627361521,17.1108807842,19.8944591342,20.0669581489,21.3116978187,18.445589227,19.8215258027,20.5619066889,19.1933864045
Piwil2,27.6013143108,33.9257096839,42.3153270094,39.7430672406,24.4917505667,89.3540380171,30.451078073,19.1212749932,20.5617166987,28.1630866498,29.2484103885,23.9747906088,31.4131741806,25.7199376151,25.1272885197,24.7095374187,36.7132877307,163.8997234941,261.4472493327,25.5272818758,28.6544191263,26.5685670275,35.4991119167,46.7321752685,42.9647724667
9430069I07Rik,27.7018484647,33.7240515683,26.1945208078,27.2187206725,25.2316971315,192.7204367116,26.2436769357,29.9187572088,31.5997551709,24.8053571395,24.8663184011,23.6899588566,32.5552062385,31.2291844473,31.0916178362,32.6606385441,31.149235306,29.9458738695,32.7101396319,30.6663718214,27.7413461519,32.0551649491,33.321437028,27.9906084485,25.9563187805
Ms4a6d,62.2507460936,33.4269067902,564.290787309,16.8750298484,11.8265695838,15.3105393665,163.4403474816,182.6830898103,372.0593375827,2950.8616695878,6755.842317871,4457.3716199463,31.8542481069,90.1417875356,101.4728349146,291.482831193,23.0531600742,29.1508023618,23.9608552516,1544.129602875,13.7097947867,23.1329550465,14.9035854453,3950.325989625,869.5194029244
Zfp94,30.8546548048,33.4128721043,30.851429142,373.3747371471,327.5623131841,67.0540166841,51.4905819776,67.4288117484,72.3162845997,43.8262199131,32.124940567,41.8614497684,63.9089496546,48.4947397003,65.699822207,56.7250050889,36.1286750048,60.2430196374,45.2417427317,25.4941386688,30.2343727823,30.4020093587,39.457649744,24.08165412,31.1036759737
Slamf6,33.1732703188,33.4052566478,28.9135260135,331.7559932376,244.6205740106,350.6038382191,48.7396500064,400.8537031577,287.5762234421,50.1893047096,224.5584965646,90.7982278901,236.4059155389,1060.9845833939,463.7214353179,1300.8578530488,114.1283687059,125.1627025417,32.6046015699,44.5833374317,66.218470391,90.332705883,44.5456621688,155.5481766736,68.2708229641
Slamf8,18.9906727361,33.3795185596,88.6171040667,15.2586882316,19.610056951,17.9043527826,19.0550723085,26.6391236245,25.5397035631,34.3938213643,474.8270878872,46.224139062,21.136568592,18.0776710682,24.7342229211,24.1520363962,16.6085890652,24.4193538893,19.5377519893,649.1506912841,22.1510328707,23.0809584836,19.7571141486,943.3264610075,433.1823517789
Cd163l1,35.7087194506,32.9908679592,31.6617295654,31.0720935478,32.9659792267,32.7170480387,43.0761223619,49.3279004179,692.5349102936,34.6133739695,34.26041389,36.4610444714,43.3964434589,65.7909813122,34.5350396401,52.5444838622,42.460737176,141.7242788108,37.1332045631,31.7802941977,36.8017868775,78.6148156391,77.7547120632,29.4565849442,28.2558379205
Tnfrsf25,25.3578956194,32.8563816481,40.7048585428,44.8969355168,19.617833059,21.4373952305,40.1279827298,200.7442432492,211.5188826668,25.1470074595,31.4034232006,27.9353251445,502.0511234955,1142.862290547,644.703164021,409.8279962274,137.890508466,527.4397890776,91.1034275406,22.225060948,24.3926152907,95.7024779978,50.3925484026,26.607670942,26.537983444
Mcoln2,39.824679878,32.8060819077,125.8286338866,279.6445762423,298.7182925905,494.4315078029,158.394725524,244.0576152321,355.5878310394,690.8726907491,861.7660827724,1052.4713430011,35.3979118724,56.7133226665,55.0768168803,72.6309780138,52.9179723842,60.5235150492,62.8250234866,23.3032566881,278.8718586397,218.6268936538,241.9213474328,871.1884456247,269.1530367275
Ear11,10.8901115031,32.3142379851,15.2034948751,10.8812382488,9.8596675821,10.574670818,13.1111197631,12.2267640951,11.8570877499,12.2448469533,13.8777902143,106.4535947424,10.9238805084,12.6715728477,10.286272484,11.4443472134,12.5438838464,10.8937914986,11.1902103471,19.0252345215,11.1707999722,11.9413992435,12.1979727703,984.118138527,913.0026399634
Fcrla,28.7138945299,32.2386027752,51.6035012424,1105.3112470413,1236.5091748156,539.1395519894,24.6754217651,24.2643713863,21.5700136293,23.6092519477,21.9541966239,22.5198684184,24.2423415304,25.6068919043,20.6781456427,18.597135143,22.762024493,21.5133782146,20.8311344065,24.6332372204,22.0816686047,54.2166157276,22.256054487,20.4120856802,20.5715506595
Gm4951,20.4117593252,32.1594199359,19.7740215249,20.1490507875,28.3946464172,21.0162198527,24.939264184,48.096465054,38.0999771354,118.576017218,3474.142395022,291.412096169,66.429782614,63.5705761312,40.5568311024,45.9048819982,39.9659022524,20.6671933318,21.6412880783,21.7622609252,18.4374063759,26.8263949792,26.8771315673,1701.2395784956,69.9410085925
Pax5,27.4395059138,32.134733062,28.7860192445,400.5096352724,223.9840725818,29.1785718992,34.2572117636,33.116727638,30.402547959,25.9673261265,35.0406804169,28.9281818854,26.8440827435,30.9564824048,33.6949624395,33.5797540921,28.1542713547,26.2385241169,28.6313321593,31.6080003525,32.6643571995,30.3350420843,26.7103880956,35.8927218452,30.7276961184
Il27ra,159.1008634002,32.1046926218,34.5910294612,475.7876344308,603.0769957675,23.0271178702,183.5131640238,1016.8817599366,874.525090345,43.2475797239,35.2326602016,55.3673844656,650.9197563981,1133.8258363698,1041.400903408,1191.5747525137,288.1904630923,991.8247922909,430.3643309212,41.9450189757,428.9950036273,458.2930731015,355.5264717544,33.3351667162,41.9269800933
Il4,593.6412878714,31.9212607196,1117.025890392,29.707652818,29.9198234151,36.879345387,29.1848966122,23.2697312808,22.8661808837,24.7848541491,34.3053278543,26.2696907513,34.0786389974,42.3968802578,29.7180697789,419.7640160609,26.8365319571,28.666080054,1029.3278319892,30.5221742863,31.9467101174,25.4431066083,26.0096648103,30.7202907731,31.680246306
Slc16a5,27.9145617259,31.87776706,28.3447665313,34.0562328645,23.0865205397,178.0039546444,50.0718861841,346.9303833973,200.9464416858,32.5583723238,32.0217914998,31.8989754409,40.573696517,135.606461279,543.9099224917,146.2670116419,34.6050370948,31.5673384414,29.7493889677,32.2655104089,37.9867618686,40.4095160015,34.3000340814,28.8454752298,29.1420640617
Ccr7,20.2811894893,31.8124840234,35.2096862734,404.4284741106,494.3128961009,25.8750422335,1981.3973001487,2893.9575181542,1603.2054477207,20.7183000274,74.1405850596,24.0003200302,1667.6197555682,704.1835300589,3662.5782729822,402.4578743341,1571.8894573439,2227.2666766077,39.1495755321,34.6812846151,20.0237820643,48.7132177041,40.2034082666,3992.8249415793,3159.7838247578
Cd96,1068.0044451186,31.4382208093,28.6689719238,34.9654670256,38.37414263,38.6324264937,350.4181440399,1490.1980510054,1167.5051553536,28.9849610563,31.0715825156,29.4554740708,1177.2704853673,2179.6131277214,1235.2035945385,730.9092042338,248.4425972145,1560.5420666513,233.7747544801,35.9842085918,5827.0195903892,1075.4103516594,972.0636479984,32.7702087327,31.8456141366
Ceacam15,52.8105856801,31.2962991972,37.0304850141,53.8434459615,64.8371657678,42.2789566604,70.713629548,55.9610175394,49.8529015545,36.3910209329,45.2118640206,38.7813947716,58.0640127201,41.6603266474,44.9487928539,42.690792187,45.7955680598,43.2699367557,42.4197689876,41.3312409566,44.3906414613,33.7639181801,39.7527390322,421.5758971406,609.1114835091
Gimap1,551.2037371937,31.2758998548,138.1599310874,724.5670827639,661.6205171742,363.0974617004,777.7271097326,1797.9343010364,1360.0835895049,21.0673553579,20.0984780496,21.7359420247,994.2025825778,1675.140097604,2562.9480801536,2614.3417354387,544.0768271022,1609.3937415352,1277.2254770949,19.887964556,1872.6192676018,1684.7749420424,1038.0757851571,26.3726709165,38.9140566781
Cxcl9,21.1319004659,31.1833148415,20.2649523669,27.6277577258,31.3638178327,26.296585738,27.1437859378,32.5534747025,35.414860517,29.1343089992,4137.427997087,26.9594955351,23.0281201779,24.9678659474,23.6584207569,25.4658826127,25.1702868887,26.7927948332,24.0898475878,38.5114030509,23.8593062863,31.6026492429,31.4227419807,1018.0349794456,25.9701079226
B3gnt5,17.4555193859,30.7362962878,23.9399006937,799.5337312054,1172.1484661781,19.1832056847,55.9455497125,110.532593784,174.0975163204,22.4616782985,17.6068274906,19.7404739821,43.5388002881,44.7887695476,47.8732714268,71.4616038697,25.334052183,45.0150553649,17.1216808572,24.8355982302,22.5531739762,259.6903286763,75.5614861437,62.737374866,30.8981161223
Epx,13.4529434478,30.5501374177,19073.7426126324,25.0151428721,18.4662225768,17.2322820439,16.2800105285,17.4817766775,24.3534030481,18.6278823129,16.9792660555,20.9384512928,20.5746612612,25.4764260761,18.6131986811,15.724866366,19.1215698082,17.0333316964,16.4056577227,17.6540794017,19.5383142468,28.3207920377,20.4085176276,225.8455107155,214.2217033207
F7,27.9582019959,30.5288590088,154.6030057906,28.1918714267,40.4458310863,25.2935878456,30.7613576751,34.6160732593,30.0076202463,315.80647573,325.489819403,547.4998578637,29.0163379425,22.1437432511,31.3176526595,26.212730473,28.5393723519,24.3762273644,27.7748848098,47.48402103,35.692555596,24.0286855118,24.2670323712,2118.879395812,2224.9222168796
Prss30,30.3244444068,30.4024174965,29.8198836921,28.3710932255,28.3486689196,37.3355335179,55.3865949234,57.4303846974,59.6757951939,29.6310944308,27.1280081891,30.8295734784,28.1521615542,36.2783110921,26.2815727924,31.9049810775,40.2136284334,81.5909972919,31.5000387541,32.4978050956,38.8345945655,31.9432680518,38.7570454134,34.7846907869,37.3378105452
Ninj2,24.3173771748,30.2204067826,29.3351499622,37.925311061,41.190308363,37.3846141697,52.0202577322,67.5784241018,54.3171904076,27.6583062776,27.3563626996,27.7008393983,57.6654678047,37.4393439482,48.7063445392,48.6490821501,65.2686266153,91.9824171959,47.3629947154,28.2139247317,33.1127938679,22.7477809518,31.8999273087,34.132588149,31.5505147961
Ell3,30.9295537717,30.1903513023,28.5435706401,848.5252175986,691.4374438594,29.6327091018,28.5879303411,30.3894050068,29.7229773765,28.8632616733,35.3263190022,28.3884669083,29.8461701214,31.7298539865,30.1443447414,30.6815722054,33.6227448318,31.8599052688,28.5179321174,30.8839138093,35.3485539646,38.1241211255,31.6778529485,39.6181991242,27.1327771642
Il7r,57.4977004636,30.1843740859,363.000570817,29.9632861157,28.2791096967,20.436500046,601.7934665671,4855.1971925495,4923.6221617708,1902.5185843887,747.8472995307,1294.231362153,268.8831026049,3168.616572092,3361.5809787864,440.1090166024,363.1960136814,4791.5218971743,1853.2331534874,25.5345486142,27.6687346199,786.5771784939,144.8920128771,1740.9885591883,941.5703536379
Alpi,25.1729582162,30.1054507198,26.3069924424,35.4762349962,32.1419718691,30.2005510345,29.3044303178,32.6837790818,32.1937714159,28.1860986583,35.2100228995,27.1552023234,30.4354439705,21.8094221087,36.6769874087,34.1823993811,32.7193117115,30.4134998052,29.486978238,34.5887886025,631.1061924502,24.6353663516,24.0961526559,42.0980814567,37.6276436339
Pbx4,72.9284633764,30.0956034533,38.6761726429,22.1981294858,20.5525604467,25.2723787442,34.5462529222,31.5779238649,39.0680102839,36.9146109357,41.028019966,32.710518503,37.1797043836,52.756284541,38.8865858368,45.8375308335,28.0799490445,66.1291517726,39.1427232903,37.6741023707,29.6489322167,23.8794077022,24.8094526941,20.7286295345,21.0430231647
Lef1,28.1855337045,30.0317404973,25.7075022098,28.5986447323,52.3001964945,42.2584517396,366.2844974923,2184.8482137294,1151.034546522,27.8917179386,26.77798522,33.1506522775,788.2996502668,271.889489642,2453.4160181037,474.5020224286,448.2877768472,2571.2166358336,538.5025821672,33.1407776614,44.05337538,238.7220904973,188.1821050816,29.219204144,28.7449896371
F10,22.9216245113,29.9628567261,484.9726722705,18.9081992465,19.4623237767,19.1300269228,19.6920327973,21.6904454984,20.3781604597,117.1461497143,379.5318257377,346.9623381346,18.9618399612,28.367486024,22.162890848,20.2843275545,22.3248682024,24.110377623,23.2199295236,327.9167843407,19.0683298983,20.4733669637,22.5608271011,2073.9603329529,1071.2450200613
Spo11,27.3000692376,29.5984975519,19.8242744763,21.1928991496,22.9783922824,52.1449807156,30.2135629222,83.3378918014,118.0389825658,19.6733136257,22.1202088647,20.2465251773,27.6355257521,71.4227287758,70.0129132578,108.2409070809,21.8504195866,184.2662277874,24.3884102536,21.1266471865,33.1742791596,155.0512523848,52.264583479,24.3962065956,29.2854786714
Icos,29.4205882729,29.598089911,26.5654561552,30.2243076326,29.411013503,28.9775886781,326.5453189642,254.8618451621,256.8346344783,27.9157408109,30.0885674594,29.4801203654,1118.1485424653,2218.2859553694,349.4350141373,4084.0239325226,990.4467067344,1215.2744672203,2022.5307859802,30.2148053597,38.4060454558,151.7454540029,211.3534415374,53.7557221003,45.7512980412
Il1a,34.3916514539,29.3034181409,220.1552240008,20.9680559625,27.1371579826,22.1039547815,36.853282703,20.9261725032,23.3725677644,50.5873703312,1079.5628008134,36.742893693,48.4743992419,18.6032878733,18.2274360527,20.8076163768,358.2497816752,47.2054217387,21.4489400021,21.8774425047,22.6548191285,24.1400702372,23.7932546111,7186.4032270784,421.7065206515
Cd8a,24.9925622111,29.2567383809,23.3041582061,27.0185254099,25.4172002905,26.9644688695,736.2454470989,2734.0778230292,1980.6849126433,24.8887325489,24.262854749,24.9417820723,30.4255552888,30.0847359778,25.5919828809,24.3511766349,42.9385219417,22.9273961134,24.5637984368,27.8002849894,8032.2897039047,24.6684092122,24.3580907487,26.0142356536,29.4473429475
Ccl22,38.7744310605,29.1847163678,40.6195420163,27.7697103508,22.6790231494,35.3861067355,35.3791110403,32.4920954509,36.6408012268,33.7743474908,47.0645488262,36.6598741791,37.9822190238,30.5135280306,34.5501643871,32.5351194365,42.7558279867,54.8172640297,39.1307609463,26.2794549315,29.9758185885,27.2825985763,32.275626298,6268.362824278,3645.437431615
Grap,21.3754859556,29.1775183647,45.1095543506,107.2548345128,133.7393987042,51.1287566363,314.431531319,432.1331029717,344.7457145448,55.5370994285,80.8064568893,60.157169304,514.8616280758,503.5486058209,770.34182008,616.4998177593,434.3970451589,683.8888633534,619.9415883913,23.3041008631,86.4384990632,211.9938948799,122.9210903712,22.694649486,22.7615438255
C3ar1,196.3734341362,29.0719855846,1532.2305945643,31.5925149773,28.6156082713,24.5686483492,20.5432358406,25.3949823213,24.1177702987,4230.8867960616,4123.119980285,4553.5387739169,21.6018920232,21.4222651865,25.7846275529,23.7503336042,23.5527375969,22.9291208687,21.9292286188,30.4495796673,25.7418734441,25.1478220776,21.6237086965,984.0574850308,752.8703122973
Lif,99.8444398411,29.0376803317,30.4410558977,32.1642174161,37.4775988223,27.0588369941,82.4797497789,29.4074106917,30.1651131883,33.3116505508,38.5801247214,32.7142018727,64.7208749087,37.2678710731,31.6006202495,42.5222892827,104.4072680983,91.4838273371,169.8587165481,31.2600919449,30.0756079634,33.043096569,36.8678631756,40.4965237133,29.3365039025
Tnfrsf9,376.0275326822,28.9511021636,65.6703522901,29.2107135401,25.3832564546,22.569600824,1273.4613436624,42.1487030336,48.9012503852,28.8716947124,30.2091299809,27.9193567022,851.1284333746,119.9189893114,48.2828295106,373.5760002144,2099.427796206,353.2713245833,1476.6190942244,19.6406270397,544.850696244,166.4713526297,1059.1047324524,2346.0133234847,1192.1399108586
Klrd1,14.6247228056,28.8618841476,178.8004288183,13.276155853,14.0902442978,16.5991994667,1747.0516649807,5353.6500444262,8238.1087961601,12.3757503712,12.3962745001,12.0211919712,77.0252999083,132.6459126787,480.369234325,26.2727007125,907.9806376916,1272.5977009878,51.3618346146,62.0303058648,8832.1305834771,10289.7203605308,7656.3636820261,22.5176805323,70.8847808324
Csf2,33.193090172,28.6227800315,41.5119260681,31.2813405419,28.8150930771,34.2737897885,2551.0947987501,25.9011257348,115.64828527,26.8202770285,32.0723189171,29.9634317007,58.5406775341,28.1660575197,32.1532516252,26.7218705017,456.5364684246,70.0246116891,113.7312608819,33.1610303929,87.6153019903,88.3413515143,89.2657246713,31.3025676682,27.3016331288
Scn11a,27.9256565121,28.5859429406,29.495892857,38.3939982218,40.9742937737,214.3949766928,31.4558716871,32.8018642208,33.6031738712,26.6004969089,31.3550180666,27.0729484194,41.0024359519,34.199082068,35.7310700422,39.2478401465,29.9940863712,45.6864557485,34.8095774075,37.8300182213,44.4108447155,30.5808564156,33.0245745305,48.5166171016,37.319215511
Fcer1a,16367.8904127026,28.3215343363,1912.3824524804,25.2167798768,15.2405655818,16.4530149747,15.0661536117,15.6296421649,14.3729708796,15.2885753867,13.2862692556,14.5577661067,14.3547393819,17.3102987619,13.9448783954,15.9663901779,17.851757207,17.9600946428,15.8945214927,16.7670519292,15.8911749117,15.5550695363,15.8897702448,18.104770354,20.1907007092
Hpgds,273.8704432412,28.1918800578,57.6452231362,28.5888877442,43.9045784762,26.1060941356,23.5019310411,31.6700226372,40.29809367,1468.33401412,469.3789184301,500.3536389747,28.0992519405,23.7957210521,33.3440875681,36.3974909794,26.2498574542,28.995115773,96.1806728394,24.623534551,49.1399835263,23.2116894973,23.1720773387,30.2799049259,36.9878509747
Art2b,31.4831739687,28.0734667904,25.7449930879,29.4644646685,26.1668432926,26.8763494844,38.1272437717,580.4460613581,198.3566708765,30.4172238867,30.3819430763,33.9841125736,167.9436988246,230.3362673898,368.3754607052,635.9620338859,24.7860655367,66.302257517,34.8976403588,34.4101605701,289.4460607533,28.1765203934,31.8074477923,24.6975267543,25.5154166247
Cd160,22.5708064499,27.4906582805,21.4375510935,27.1892643601,26.231029854,25.3741689108,163.3531119163,102.151580254,338.419342908,23.6782232982,24.2081091022,24.5064044228,49.3182256515,56.1828715163,45.2763133328,104.1034959009,41.7209713931,29.1978529688,29.3961922378,23.4443453477,1660.1755659678,303.2931736562,172.0901028076,20.2142173197,21.9562414362
Tnfrsf8,23.4541959846,27.270843154,27.2816370697,30.2577465243,31.8517942886,27.7270841204,34.800005036,28.2608083249,25.4780591362,32.184482204,29.3738697449,29.0600895612,32.0777735346,23.2949007417,27.2360781557,27.8476570159,303.4114381906,87.5707606603,70.8734171682,31.9086488335,28.9159735572,27.3979566764,26.9629915028,29.9211705794,27.8905698149
Il24,26.4701122798,27.1091422019,22.2761324112,32.8757948247,26.4190808159,48.1815699858,40.9932407644,33.3990115152,26.9596214266,29.6029784104,22.0442248999,27.5634283133,41.2845097502,34.115830979,28.5542871092,26.5838373285,121.7788941416,84.4210265685,341.0176000827,30.8649574925,35.1281574282,23.5158903173,23.2921793062,38.4639263862,36.4513537037
Spink2,845.730000396,27.1009489472,31.5073216584,21.6508588804,19.9875379858,33.25608402,39.2685709848,29.8961354171,30.869774249,28.4606428263,40.7023409593,31.3012088902,37.7702628863,26.0994314192,32.7170782002,36.2088408711,49.8320282851,46.2519122841,44.0443437818,55.3000208889,25.7455077367,20.7635012996,25.6293886989,363.5649163624,417.3542394092
Ms4a8a,17.3041633085,26.9927619078,21.8553082675,15.0537647547,20.9776525225,20.197414832,25.033213821,19.6682186793,21.0557838663,23.3852595423,32.805623275,28.821594065,20.5709000265,20.7326793731,19.6488535419,19.8968859145,22.5240193211,20.4587377527,18.8159749504,531.9641401006,85.2234879102,26.0980687995,19.1828270054,52.8284240261,53.1831564445
Pdcd1lg2,138.0156836967,26.9589780281,103.9032585727,217.7616275866,39.2229660611,25.0066018819,233.8665114456,27.1448909465,55.6942506274,23.5273464212,132.9551745223,519.7846220949,354.2408912597,69.5207618624,37.7199277499,308.588693862,716.3892943269,64.3002770793,198.9765825112,34.4621508595,92.67094228,47.2828754973,59.8091524945,769.9920801901,478.2350791722
